CVC Name,Website,"CVC Description (Based on website, summarized by AI)",Company,Industry,Country
InMotion Ventures,https://www.inmotionventures.com,"InMotion Ventures is the corporate venture capital arm of Jaguar Land Rover (JLR), focused on making equity investments in startups that are critical to accelerating JLR's Reimagine strategy. The priority industries that InMotion Ventures invests in include:

1. Autonomous mobility: InMotion Ventures has invested in companies like Apex.AI that provide safe and certified software for autonomous vehicles.

2. Battery technology and recycling: The firm has invested in Battery Resourcers, a company with a closed-loop process to recycle and reuse lithium-ion battery materials, supporting JLR's goal of achieving net zero carbon emissions.

3. Sustainability and the circular economy: InMotion Ventures' investments in battery recycling and reuse technologies are part of JLR's plan to establish sustainable solutions and create a circular economy across the battery supply chain.

4. Transport and travel sectors: The InMotion Ventures team has deep domain expertise in these industries, indicating a focus on technologies and innovations that can transform mobility and travel.",Jaguar Land Rover,Automotive,United Kingdom
Intel Capital,http://www.intelcapital.com,"Intel Capital is a corporate venture capital firm that is a division of Intel Corporation. Founded in 1991 and based in Santa Clara, California, Intel Capital invests in a range of technology startups and companies offering hardware, software, and services targeting artificial intelligence, autonomous technology, data center and cloud, 5G, next-generation compute, semiconductor manufacturing, and other technologies. Intel Capital focuses on investing in companies shaping the future of four key domains: Cloud, Devices, Frontier, and Silicon.",Intel Corporation,Technology,United States
Intuit Ventures,https://www.intuit.com/ventures/,"Intuit Ventures is an investment arm focused on supporting startups that aim to enhance prosperity for consumers and small to medium-sized businesses (SMBs). The venture division operates under the umbrella of Intuit Inc., a company known for its financial software products such as QuickBooks, TurboTax, Credit Karma, and Mailchimp.
The primary objective of Intuit Ventures appears to be investing in world-class startups that align with Intuit's mission of powering financial prosperity. While specific details about their investment strategy or portfolio companies are not provided on the webpage, the emphasis is clearly on supporting innovative businesses in the financial technology sector.
Intuit Ventures likely leverages the expertise and resources of its parent company to provide value beyond capital to its portfolio companies. However, the exact nature of this support is not explicitly stated on the webpage.
The venture arm's activities are part of Intuit's broader ecosystem, which includes various products and solutions aimed at both individual consumers and businesses. This suggests that Intuit Ventures may seek synergies between its investments and Intuit's core business offerings.",Intuit,Finance,United States
Itochu Technology Ventures,https://www.techv.co.jp/en/company/,"ITOCHU Technology Ventures, Inc. is a company established on July 25, 2000, with a capital of 100 million JPY. The ownership structure consists of ITOCHU Corporation holding 70% and ITOCHU Techno-Solutions Corporation holding 30%. The company is led by President & CEO Suguru Yamaryo.
The primary focus of ITOCHU Technology Ventures is investing in early-stage startups, particularly those in the Internet services sector, covering both B2B and B2C markets. In addition to financial investment, the company provides hands-on support to its portfolio companies.
ITOCHU Technology Ventures is headquartered in Tokyo, Japan. Their office is located on the 4th floor of the Itochu Building in Kita-Aoyama, Minato-ku. The office is easily accessible, being just a 1-minute walk from Gaienmae Station on the Tokyo Metro Ginza Line, or a 5-minute walk from Aoyama-itchome Station, which is served by the Tokyo Metro Ginza Line, Hanzomon Line, and Toei Oedo Line.",Itochu,Technology,Japan
JCI Ventures,http://www.johnsoncontrols.com/ventures,"JCI Ventures is the corporate venture capital arm of Johnson Controls International (JCI), a $20+ billion global diversified technology and industrial leader. JCI Ventures partners with and invests in startups whose solutions, technologies, and intellectual property contribute to JCI's purpose of creating intelligent, energy efficient, and secure buildings and building environments. The key priority industries that JCI Ventures invests in are: Healthy Buildings, Product and Technology, Decarbonization and Sustainability, Smart and Digital Buildings, Field Service Improvement, and Performance and Efficiency.",Johnson Controls International (JCI),Industrial,Ireland
JetBlue Ventures,http://www.jetblueventures.com,"JetBlue Ventures is the corporate venture capital subsidiary of JetBlue Airways. They invest in and partner with early-stage startups improving the travel, hospitality, and transportation industries. Their priority investment areas include seamless customer journeys, reimagining the accommodation experience, next-generation aviation operations and enterprise tech, innovation in loyalty, distribution, and revenue, and sustainable travel.",JetBlue Airways,Consumer,United States
JLL Spark,https://spark.jll.com/,"JLL Spark is the corporate venture capital arm of global commercial real estate services firm JLL. Founded in 2017, JLL Spark has invested over $390 million in more than 50 early-stage PropTech (property technology) startups, with a focus on transforming the commercial real estate industry through disruptive hardware and software innovation. JLL Spark's priority industries for investment include PropTech, IoT (Internet of Things) sensors, investment platforms, and other technologies applicable to the commercial real estate sector. By bringing the best of the startup world to JLL and its clients, JLL Spark aims to leverage JLL's distribution, experience, and global footprint to help its portfolio companies scale and succeed.",JLL,Finance,United States
Kale United,http://kaleunited.com/,"Kale United is a public holding company that makes impact investments in pioneering plant-based and foodtech companies. Their priority industries are:

1. Plant-based foods: Kale United invests in plant-based companies that provide good potential for return on investment while contributing to sustainable food production.

2. Foodtech: Kale United also invests in foodtech companies that can help accelerate the shift towards a more plant-based food system.

3. Sustainability: Kale United's investments are chosen to have a positive impact in alignment with the UN Sustainable Development Goals, with a focus on reducing the environmental impact of the food industry.",Kale United,Food and Agriculture,Sweden
Kering Ventures,https://www.kering-ventures.com/,"Kering Ventures is the venture investment arm of the Kering Group, a global luxury group based in Paris, France. The firm acquires minority stakes in early-stage startups at the intersection of technology, commerce, and culture that have the potential to shape the future of the luxury industry.
With a focus on the Fashion, Beauty, and Lifestyle segments, Kering Ventures backs exceptional entrepreneurs who have a clear vision, are willing to disrupt consumer demand, and are ready to deliver outstanding customer experiences. The firm seeks investment opportunities with billion-dollar market potential, typically investing between €1 million and €10 million per deal.
By investing in these startups, Kering Ventures aims to amplify the impact of Kering Digital and Innovation. The firm leverages its connection to the Kering Group ecosystem, which includes its portfolio of luxury houses and an extensive international network, to provide business opportunities and share its expertise in the luxury sector with its portfolio companies.",Kering Group,Consumer,France
Kirin Health Innovation Fund,https://www.kirinholdings.com/en/,"Kirin Holdings Company is a Japanese conglomerate that focuses on food and beverages, pharmaceuticals, and health science. The company's value creation model is centered around the concept of Creating Shared Value (CSV), which aims to enhance both economic and social value. 
Kirin's CSV Purpose is guided by four key principles: Health and Well-being, Community Engagement, The Environment, and Responsible Alcohol Producer. These principles are designed to drive sustainable growth and create value in partnership with society.
The Kirin Group operates in three main business areas: Food & Beverages (including alcoholic and non-alcoholic beverages), Pharmaceuticals, and Health Science. Through these divisions, the company aims to address social issues as opportunities for business growth, leveraging synergies across its various operations.
Kirin's approach to innovation is built on several foundational elements, including core technology for value creation, consumer-centric marketing expertise, ICT to accelerate value creation, and a culture of diversity and inclusion that fosters innovation. The company focuses on driving innovations that enable its businesses to help solve societal issues worldwide.
In terms of output, Kirin provides products and services designed to build bonds between people, improve quality of life, and continually develop innovative new drugs. The company's efforts are directed towards realizing its CSV Purpose and maximizing cash flows, thereby creating both social and economic value.",Kirin Holdings Company,Food and Agriculture,Japan
Koch Disruptive Technologies,https://www.kochdisruptivetechnologies.com,"Koch Disruptive Technologies (KDT) is a corporate venture capital firm that partners with principled entrepreneurs building transformative and disruptive companies. KDT focuses on unlocking potential by providing more than just capital - they leverage their expansive network of 120,000+ employees across 60+ countries to accelerate the growth of their portfolio companies and create positive societal impact. KDT has prioritized investing in sectors ripe for disruption, including healthcare, supply chain, and manufacturing technologies, as they believe these are areas where they can create the most value for their partners and the greatest good for society.",Koch,Industrial,United States
L'Oreal BOLD Ventures,https://www.lorealboldventures.com/about/,"L'Oréal BOLD Ventures is a corporate venture arm that offers strategic backing and collaborative benefits to startups in the beauty industry. The venture arm provides support that extends beyond financial investment, positioning itself as a reliable partner for startups.
BOLD Ventures grants portfolio companies access to L'Oréal's extensive ecosystem, which includes a network of experts, innovators, and changemakers. This access, combined with collaborative tools for scaling, is designed to help startups achieve and surpass their ambitions.
The venture arm's approach is multifaceted, offering several key benefits to its partners. These include a global presence that increases visibility worldwide, mentorship to support development, and capital to scale tangible growth. Additionally, BOLD Ventures provides reliable collaboration to help startups exceed expectations and offers beauty expertise through access to the L'Oréal network.
",L’Oreal,Consumer,France
LBBW Venture Capital,http://www.lbbwvc.de,"LBBW Venture Capital (LBBW VC) is the venture capital arm of Landesbank Baden-Württemberg, a German bank. Founded in 1998, LBBW VC invests in early-stage disruptive IT and life science companies in the DACH (Germany, Austria, Switzerland) region. The firm focuses on investing from seed to Series A stage, with initial ticket sizes of up to €3 million. LBBW VC's priority investment areas are: 1. Digital Transformation: The firm is interested in software-driven approaches within Enterprise IT, IoT, Industry 4.0, AI/ML, Big Data & Analytics across various industrial sectors. 2. Life Science and HealthTech: LBBW VC supports companies developing drugs, diagnostic tools and medical devices from pre-clinical stages onwards, as well as companies disrupting the life science and health tech sector through data, image, AI and deep tech. 3. Financial Technology: The firm backs entrepreneurs who shape the financial sector by optimizing/digitizing processes or disrupting the sector from the customer perspective.",Landesbank Baden-Württemberg,Finance,Germany
Leaps by Bayer,https://leaps.bayer.com,"Leaps by Bayer is the strategic impact investment unit of Bayer. It aims to accelerate transformative biotechnologies to shift key paradigms in life science and change the world for the better. Leaps by Bayer has identified 10 ""Leaps"" or huge challenges facing humanity that they are targeting with their investments, spanning healthcare and agriculture. These include curing genetic diseases, providing sustainable organ and tissue replacement, reducing the environmental impact of agriculture, preventing and curing cancer, protecting brain and mind, reversing autoimmune diseases and chronic inflammation, providing next generation healthy crops, developing sustainable protein supply, preventing crop and food loss, and transforming health with data. Leaps by Bayer invests in early-stage companies and forms new ventures, providing significant funding and access to Bayer's expertise and networks to enable them to focus on long-term delivery of disruptive technologies.",Bayer,Food and Agriculture,Germany
LenX,https://www.lenx.com/about-us,"LenX leverages over 60 years of expertise in the home building industry, grounded in the fundamental principles of Quality, Value, and Integrity. The company believes in caring for its Associates, Customers, Trade Partners, Shareholders, and Community, always striving to do the right thing for the right reason.
The organization continuously works to enhance the lives of its customers, associates, and community while evolving its core business and partnering with innovative companies. LenX focuses on building lasting relationships with each partner company, working diligently side-by-side to incorporate them into the business and participate in their growth and development.
Together with its partners, LenX explores, reimagines, and disrupts key elements of the homebuilding industry. The company's approach involves leveraging its expertise and resources to drive innovation and progress in the sector.",Lennar,Industrial,United States
LG Technology Ventures,http://www.lgtechventures.com,"LG Technology Ventures is the corporate venture capital arm of the LG Group, a global technology conglomerate. Established in 2018 and based in Santa Clara, California, LG Technology Ventures manages over $400 million in fund assets and invests in early-stage startups across several priority industries, including artificial intelligence, mobility, advanced materials, life sciences, next-generation display, mobile, and 5G. The team consists of experienced investors, entrepreneurs, technologists, and industry domain experts, and the goal is to help portfolio companies develop strategic partnerships with various LG companies.",LG Group,Consumer,South Korea
Lockheed Martin Ventures,http://www.lockheedmartin.com/us/who-we-are/lockheed-martin-ventures.html,"Lockheed Martin Ventures is the corporate venture capital investment arm of Lockheed Martin Corporation. It makes strategic investments in early-stage companies developing cutting-edge technologies in core interest areas and new markets important to Lockheed Martin. Lockheed Martin Ventures provides portfolio companies with access to Lockheed Martin's world-class engineering talent, state-of-the-art technologies, research, and international business relationships and supply chain. The priority industries that Lockheed Martin Ventures invests in include artificial intelligence, autonomy & robotics, cybersecurity, human potential, materials & manufacturing, nextgen electronics, power & propulsion, quantum technologies, sensor technologies, signals & communication tech, space technologies, and synthetic biology.",Lockheed Martin Corporation,Industrial,United States
LOTTE Ventures,http://lotteventures.com/main,"LOTTE Ventures is the corporate venture capital arm of the LOTTE Group, a leading multinational conglomerate with over 90 subsidiaries across various industries. Launched in 2016, LOTTE Ventures is the only venture capital arm of the LOTTE Group. LOTTE Ventures' priority industries for investment include retail, food and beverage, chemicals, construction, healthcare and digital health, data and AI, and entertainment",LOTTE Group,Consumer,South Korea
LPC Ventures,https://lpc-ventures.com,"LPC Ventures is the corporate venture capital arm of Lincoln Property Company, a global leader in commercial real estate services and investment. Founded in 2019 and based in Los Angeles, California, LPC Ventures focuses on investing in companies across several priority industries, including data platforms, healthcare, innovative operating business models, smart building technologies, supply chain software, and sustainability software.",Lincoln Property Company,Technology,United States
M Ventures,https://www.m-ventures.com/,"M Ventures is the strategic, corporate venture capital fund of Merck KGaA, Darmstadt, Germany. They invest in two main priority areas:

1. Biotechnology: M Ventures focuses on investing in emerging biotechnologies that can lead to differentiated products, R&D tools, platforms, and modalities with the potential to significantly improve patient outcomes and drug development processes. Their key focus areas within biotechnology include healthcare biotechnology and life science tools.

2. Technology: M Ventures invests in emerging technologies that have the potential to create the future of computing, data storage, display, as well as pursuing interdisciplinary approaches with a strong element of technology convergence and sustainability. Their key focus areas within technology include electronics, frontier technology, and sustainability.

M Ventures takes an active role in their portfolio companies and teams up with entrepreneurs and co-investors to translate innovation towards commercial success.","Merck KGaA, Darmstadt, Germany",Industrial,Germany
M12,https://m12.vc,"M12 is Microsoft's corporate venture capital fund that invests in early-stage technology companies disrupting the enterprise. Their priority industries for investment include AI, cloud infrastructure, cybersecurity, developer tools, vertical SaaS, and Web3 + gaming.",Microsoft,Technology,United States
Macquarie Capital,https://www.macquarie.com/au/en/about/news/2019/macquarie-capital-venture-studio-announces-commitments-in-three-infratech-companies.html,"Macquarie Capital is a global advisor, investor and developer. We partner with businesses, startups and governments to connect ideas to capital and help drive innovation, growth and create real-world impact.

Through pairing our unique capabilities in advisory, capital markets, principal investing, development and equities with deep sector expertise, we find innovative ways to unlock growth for our clients over the long term and also address areas of unmet community need alongside our partners.",Macquarie Capital,Finance,Australia
Maersk Growth,https://www.maersk.com,"Maersk Growth is the corporate venture arm of A.P. Moller - Maersk, the global integrated logistics company. Maersk Growth is the global partner for external innovation at Maersk, with a mission to digitize, democratize, and decarbonize supply chains. Maersk Growth invests in and partners with promising startups to support new business models and technologies.  The key priority industries that Maersk Growth invests in are global trade, logistics, and supply chains. Maersk Growth works with startups that are tackling the most fundamental and complex challenges in these core industries.",A.P. Moller - Maersk,Industrial,Denmark
Magna Technology Investments,https://www.magna.com/company/magna-technology-investments,"Magna Technology Investments represents the venture investment arm of Magna International, a global automotive supplier. The team is integrated within Magna's corporate structure rather than operating as a separate investment fund. Comprising experienced venture professionals, they seek opportunities to invest in and partner with startup companies in the automotive and new mobility sectors.
The investment focus aligns with Magna's global strategy, aiming to advance mobility solutions for everyone and everything. Magna Technology Investments leverages the company's extensive global presence, including operations in 28 countries and 345 manufacturing centers worldwide, to help scale new technologies.
The team concentrates on areas that shape the future of vehicles and the automotive industry. Their investment interests span several key domains: advanced manufacturing, materials, mobility, electrification, and ADAS/AV (Advanced Driver Assistance Systems/Autonomous Vehicles). Within these categories, they consider a wide range of innovations, from advanced robotics and sustainable materials to new mobility business models and next-generation sensors.
Magna Technology Investments follows a structured process for engaging with startups. This begins with an initial pitch to the investment team and progresses through stages of evaluation, partnership consideration, and negotiation. The process culminates in investment committee approval, finalization of terms, and funding.
The initiative reflects Magna's recognition of the profound changes occurring in the mobility industry. By collaborating with startups and expanding their ecosystem, Magna aims to unlock new business models and markets, viewing this as a crucial part of their strategy for the next decade.",Magna International,Automotive,Canada
Mandiri Capital Indonesia,http://mandiri-capital.co.id/en/home/,"Mandiri Capital Indonesia (MCI) is a Corporate Venture Capital (CVC) that is a subsidiary of Bank Mandiri Group. MCI focuses on investing in and collaborating with technology companies, with the goal of bridging synergy development with the Mandiri Group and state-owned enterprise (SOE) ecosystem. ",Bank Mandiri Group,Finance,Indonesia
MassMutual Ventures,http://www.massmutualventures.com/,"MassMutual Ventures (MMV) is a multistage, global venture capital firm that invests in enterprise software-as-a-service (SaaS), cybersecurity, financial technology, healthtech, and climate technology companies. The firm helps accelerate the growth of its portfolio companies by providing capital, connections, and advice. MMV has teams based in Boston, London, and Singapore that manage investment funds focused on North America/Israel and Europe/Asia-Pacific. To date, MMV has backed over 40 companies, with successful exits including Recorded Future and RiskIQ.",MassMutual,Finance,United States
Mastercard,https://www.mastercard.com/global/en/business/fintech/fintech-programs/startpath.html,"Mastercard Start Path is a startup engagement program designed to support innovative companies in the fintech and commerce sectors. The program aims to help startups achieve global scale and accelerated expansion by providing access to Mastercard's network of experts, technologies, and channels.
Start Path offers multiple programs tailored to different stages of startup growth. These include Start Path Global for later-stage startups, Start Path Express for earlier-stage companies, and specialized tracks focused on specific areas such as open banking and cryptocurrency.
The program provides participants with opportunities to collaborate with Mastercard's global customer base, which includes major financial institutions, merchants, and other technology companies. Startups in the program can benefit from Mastercard's industry expertise, mentorship, and potential strategic investments.
Start Path has a track record of working with over 350 startups since its inception. The program has a global reach, with participants from various countries and regions. Mastercard emphasizes that Start Path is not just an accelerator but a partnership opportunity that can lead to long-term collaboration and growth for participating startups.",Mastercard,Finance,United States
MDI Ventures,http://www.mdi.vc,"MDI Ventures is a corporate venture capital firm that was originally anchored by an evergreen fund from Telkom Indonesia. MDI Ventures currently manages unique funds that contribute to investments across all stages, from pre-seed/seed to Series A/B and later stages. MDI Ventures' priority industries include fintech, healthcare, and technology more broadly. The firm invests in a range of technology sectors, with a focus on backing startups that can create new business opportunities and revenue streams through collaboration with Telkom Indonesia and other large Indonesian corporates.",Telkom Indonesia,Technology,Indonesia
ME Innovation Fund,https://www.mitsubishielectric.com/cvc/,"The ME Innovation Fund serves as a bridge between the Mitsubishi Electric Group and startups, focusing on discovering innovative technologies and novel ideas to bring change through co-creation. The fund's mission is to believe in the possibilities of technology and make a difference in the world, building upon Mitsubishi Electric's long-standing history of developing diverse businesses based on its technological capabilities.
The fund operates on four core values: drawing out the power of technology with an open mind, adopting a ""startups first"" spirit with a ""give and give"" attitude, acting as a translator by sharing values and culture with technical understanding, and continuing to be a challenger unbound by precedent or convention.
ME Innovation Fund's strengths lie in its deep understanding of technology, providing support for commercialization based on extensive knowledge and experience. It also boasts technology connoisseurship, pioneering the future with a high vantage point, broad vision, and solid discernment. The fund leverages Mitsubishi Electric's wide range of business areas to create synergies and utilizes the company's world-class research and development department to expand technological possibilities.
The fund's team consists of professionals in various roles, including investment, operations, and public relations. Recent investments made by the ME Innovation Fund include Pente Networks Inc., Hayden AI Technologies, Inc., Hydroleap Pte. Ltd., Elephantech Inc., and SCADAfence Ltd., demonstrating its commitment to supporting diverse technological innovations across different sectors.",Mitsubishi Electric,Technology,Japan
Mercado Libre Fund (MELI),https://mercadolibre.com/fund,"Mercado Libre's Corporate Venture Capital Fund invests in technology companies, primarily focusing on Series A and B funding rounds. The fund targets startups that contribute to the democratization of commerce and financial services in Latin America, either directly or indirectly. As part of the largest ecosystem in the region, the fund offers significant value to the startups it works with, beyond just financial support.
The fund provides startups access to Mercado Libre's products, solutions, expert teams, and distribution channels. In some cases, Mercado Libre may even become a strategic client for these startups. This approach leverages the company's extensive ecosystem, which is built around two main business units: Mercado Libre and Mercado Pago.
Within the e-commerce and fintech sectors, Mercado Libre has established various companies to offer a comprehensive range of services. These services are designed not only to facilitate commercial transactions and enhance user experiences but also to promote entrepreneurship, social mobility, and economic growth.
The MELI Fund has made investments in 28 companies across 4 countries. The total valuation of the startups in its portfolio exceeds $9 billion. The fund has also collaborated with 31 large co-investors, indicating its ability to attract significant partners in its investment activities.
Startups interested in partnering with Mercado Libre's fund can submit their information through a form provided on the fund's landing page. This opportunity allows companies to potentially secure investment from and strategic partnership with Latin America's largest online commerce and payments ecosystem.",MercadoLibre,Technology,Argentina
Mercy Corps Ventures,https://www.mercycorpsventures.vc,"Mercy Corps Ventures is the impact investing arm of Mercy Corps, a global humanitarian organization. Founded in 2015, Mercy Corps Ventures invests in and catalyzes venture-led solutions to increase the resilience of underserved individuals and communities. Their priority industries include:

1. Adaptive agriculture and food systems: Ventures that develop solutions to build resilience in agriculture and food systems, especially for climate-vulnerable populations.

2. Frontier fintech: Ventures that provide inclusive financial services and digital finance products to underbanked and unbanked populations.

3. Climate-smart technologies: Ventures that develop innovative climate-focused solutions, such as renewable energy, climate adaptation, and emissions reduction technologies.",Mercy Corps,Consumer,United States
Mitsui Kinzoku-SBI Material Innovation Fund,https://www.mitsui-kinzoku.co.jp/mlab/en/cvc/,"The Mitsui Kinzoku-SBI Material Innovation Fund is a corporate venture capital initiative established by Mitsui Kinzoku in partnership with SBI Investment. Launched on September 1, 2017, the fund has a size of 5 billion yen. SBI Investment serves as the General Partner, while Mitsui Kinzoku acts as the Limited Partner in this venture.
This fund is part of Mitsui Kinzoku's strategy to employ corporate venture capital as a tool for creating new businesses. The company aims to combine its strengths with external capabilities to develop new markets and opportunities. Through this initiative, Mitsui Kinzoku seeks to collaborate with partners both in Japan and overseas to foster innovation and drive business growth.
The fund leverages Mitsui Kinzoku's core technological strengths in materials science. These include MaterialCharacter, which focuses on altering material properties to develop new alloys and composites; MaterialSurface, which specializes in surface treatment and coating technologies; and MaterialShape and Size, which encompasses material processing technologies, particularly in ultra-thin electrodeposit copper foil production.
By utilizing this corporate venture capital fund, Mitsui Kinzoku aims to address challenges faced by developers and engineers in various industries. The company's goal is to create synergies between its technologies and resources and the needs of potential partners, ultimately leading to the development of new businesses and products in the materials sector.",Mitsui Kinzoku,Industrial,Japan
MS&AD Ventures,https://www.msad.vc,"MS&AD Ventures is a corporate venture capital firm set up by MS&AD Insurance Group Holdings, one of the largest insurance conglomerates in the world. The firm invests in early-stage technology companies, typically providing $500K to $3M in seed to Series B funding. MS&AD Ventures' priority investment areas include insurtech and fintech, sustainability, infrastructure, future of transportation, digital health, AI and analytics, and future of work.",MS&AD Insurance Group Holdings,Finance,Japan
Mubadala Capital,https://www.mubadala.com/,"Mubadala Capital is the wholly-owned asset management subsidiary of Mubadala Investment Company, with approximately $20 billion in assets under management. Mubadala Capital's Ventures platform was established in 2017 to partner with visionary founders building enduring technology and healthcare companies, and support them with Mubadala's global scale, resources, and capital. To date, the Ventures platform has invested in over 75 technology and healthcare companies. Mubadala has recently expanded its UAE-UK Sovereign Investment Partnership (UAE-UK SIP) to include investment in three new priority sectors: technology, infrastructure, and energy transition, in addition to the existing life sciences program. Mubadala has committed £10 billion over the next five years to drive investment in these priority areas.",Mubadala Investment Company,Finance,United Arab Emirates
MUFG Innovation Partners,http://www.mufg.jp,"MUFG Innovation Partners (MUIP) is the corporate venture capital arm of Mitsubishi UFJ Financial Group (MUFG). Established in 2019, MUIP has 5 funds with $650M in assets under management and a portfolio of 45 active investments across 8 markets globally. MUIP invests in and drives business collaborations between startups and MUFG, with a focus on industries such as fintech, insurtech, proptech, logistics, and space technology. MUIP also supports regional revitalization in Japan through initiatives like the MUFG ICJ ESG Accelerator program and the Rise Up Festa event.",Mitsubishi UFJ Financial Group (MUFG),Finance,Japan
Munich Re Ventures,http://munichreventures.com/,"Munich Re Ventures (MRV) is the venture capital arm of Munich Re Group, one of the world’s leading providers of reinsurance, primary insurance, and insurance-related risk solutions. With more than $1 billion in assets under management, Munich Re Ventures invests in the most innovative start-ups transforming the future of risk and risk transfer. MRV’s experienced investors are financially-driven while focused on the strategic interests of Munich Re and the broader insurance industry. MRV works closely with Munich Re Group businesses across the globe to fund and partner with the best emerging companies developing new technologies and business models — and risks — for tomorrow’s world.",Munich Re,Finance,Germany
MUUS Climate Partners,https://www.muusclimate.com,"MUUS Climate Partners is the venture capital arm of MUUS & Co, a values-driven, privately held, entrepreneurial investment company. MUUS Climate Partners invests at the convergence of climate solutions and high-tech applications, with a focus on accelerating the decarbonization of the planet. Their priority industries include energy, transportation, industry, built environment, and agriculture, with a particular focus on companies using technology to accelerate emissions reduction in these sectors.",MUUS & Co,Finance,United States
Myriad Venture Partners,https://www.myriadventures.com/,"Myriad Venture Partners is the corporate venture arm of Xerox.
Myriad Venture Partners supports early-stage companies in artificial intelligence, clean technology, and B2B software sectors. They aim to provide capital, insights, and an ecosystem to entrepreneurs building companies that define industries.
Myriad Venture Partners backs companies that are fundamentally changing how businesses operate, compete, and create value. In the AI sector, they focus on technologies that automate complex processes, secure operations, uncover insights, and facilitate new business models. For B2B software, they target innovative, purpose-built vertical applications addressing industry-specific challenges in healthcare, finance, legal, manufacturing, and logistics. In clean technologies, they support initiatives aimed at revitalizing industries towards a net-zero future, including autonomous factories, critical supply chains, and clean energy integration.
The firm emphasizes a collaborative approach to venture capital, connecting entrepreneurs with corporate partners, industry leaders, and co-investors. They maintain a strategic network that includes a Corporate Advisory Council and an Executive Advisory Board, fostering a cycle of value creation and access for all stakeholders. Myriad's team brings operational and investing expertise, with experience in strategy, operations, technology, and business intelligence. They aim to be long-term partners for founders, helping with challenges such as refining go-to-market strategies and navigating partnerships in both private and public markets.",Xerox,Technology,United States
NAB Ventures,https://www.nab.com.au/about-us/nab-ventures,"NAB Ventures is a global initiative that supports entrepreneurs in Australia and internationally in building leading technology companies. The venture arm focuses on investing in innovative technologies and business models that align with NAB's strategic priorities. Their partners have extensive experience in founding, leading, and investing in technology companies across Australia and the United States for two decades.
The investment themes of NAB Ventures revolve around four key areas: connected business, home ownership, cashless world, and empowered investment. In the connected business sphere, they seek technologies that provide a comprehensive experience for small and medium businesses, helping them manage various financial aspects including banking, tax, invoicing, and payroll. The home ownership theme supports retail customers throughout their property journey, from finding and securing a property to managing all aspects of homeownership.
For the cashless world theme, NAB Ventures focuses on building easier, faster, and richer payment solutions for customers. This includes enhancing credit and debit card offerings and supporting innovations such as digital wallets, real-time payments, and blockchain-enabled solutions. The empowered investment theme aims to help customers build, monitor, and manage wealth through disruptive solutions in wealth management, covering areas like deposits, property, equities, funds, and superannuation.
NAB Ventures leverages NAB's core capabilities, utilizing customer insights and solutions derived from the bank's deep understanding of customer data, as well as its inherent capabilities in trust, security, and identity management. The venture arm has developed streamlined internal investment processes to match the speed of high-growth ventures, allowing investee companies to progress from a signed term sheet to investment close in as little as four weeks.",National Australia Bank (NAB),Finance,Australia
Nasdaq Ventures,https://nasdaq.com/nasdaq-ventures,"Nasdaq Ventures is the strategic investment arm of Nasdaq, Inc., focused on fostering innovation and collaboration with promising fintech and market technology companies. The venture arm seeks to invest in entrepreneurs and companies that align with Nasdaq's vision of reimagining markets to realize the potential of tomorrow.
The investment strategy of Nasdaq Ventures centers on identifying and supporting companies that are developing solutions to address critical issues in capital markets and beyond. These solutions span various areas, including digital assets, ESG, market infrastructure, and next-generation technology applications such as artificial intelligence, machine learning, and cloud computing.
Nasdaq Ventures provides more than just capital to its portfolio companies. It offers strategic guidance, industry expertise, and access to Nasdaq's global network of customers, partners, and market participants. This approach aims to accelerate the growth and success of portfolio companies while also driving innovation within Nasdaq and the broader financial ecosystem.
The venture arm's investments typically range from Series A to late-stage funding rounds. Nasdaq Ventures takes a flexible approach to deal structures, allowing for various investment types including equity, debt, and alternative instruments. This flexibility enables the fund to tailor its investments to the specific needs and circumstances of each portfolio company.",NASDAQ OMX,Finance,United States
National Grid Partners,https://ngpartners.com,"National Grid Partners (NGP) is the corporate venture and innovation arm of National Grid, one of the world's largest investor-owned energy companies. NGP was launched in 2018 with the goal of investing in technologies that solve today's challenges and create the energy systems of the future. NGP's priority industries for investment include: 1. Future Electric Networks: NGP invests in technologies that can make the power grid safer, cleaner, and smarter, such as solutions for grid optimization, asset management, and distributed energy resources. 2. Decarbonizing Gas: NGP invests in technologies that can help decarbonize the natural gas and biogas industries, such as solutions for clean hydrogen production. 3. Customer First: NGP invests in technologies that can improve the customer experience, such as AI-powered customer service automation and solutions for electric vehicle charging optimization. 4. Efficiency Through Innovation: NGP invests in technologies that can help improve the efficiency and sustainability of energy systems, such as generative design software for critical infrastructure and AI-powered asset management.",National Grid,Energy,United Kingdom
Nationwide Ventures,https://www.nationwide.com/cps/nw-ventures.html,"Nationwide Ventures is the corporate venture capital arm of Nationwide Insurance Company. They invest in early-stage startups that are shaping the future of insurance and financial services, with a focus on six priority industries: future of mobility, cybersecurity, enterprise infrastructure, property technology, living in retirement, and the future of work. In addition to investing, Nationwide Ventures also seeks to partner with startups to help Nationwide's business units expand distribution, increase customer satisfaction, and operate more efficiently.",Nationwide Insurance Company,Finance,United States
