Source,Page,Category,Climate Problem,Solution Name,Technologies,Description
"Amman, Jordan",19,Not categorized (ensure taxonomy match),Emissions reduction for climate action and planning,CURB (City Urban Resilience Building) Model,- Excel-based modeling tool (CURB),"The CURB model is an Excel-based modeling tool that uses city emissions inventory data to project future emissions and suggest actions for reduction. The model incorporates data from Amman's 2014 emissions inventory, as well as future population and economic growth rates, to create baseline and alternative emission scenarios. The city managed feedback and collaboration through a technical working group, which helped input data into the CURB model. This structured use of data and modeling informs decision-making for achieving the city’s 2050 vision for reduced emissions."
"Amman, Jordan",25,Not categorized (ensure taxonomy match),Emission reduction tracking and transparency,Climate action monitoring system,"Monitoring system, reporting and verification system","This technology-enabled solution includes a ""monitoring, reporting and verification system"" that is designed to identify all emission reduction actions in Amman, enabling the public to be informed about the progress of Plan implementation. The system enhances transparency concerning climate actions and allows for better public engagement with ongoing initiatives."
"Amman, Jordan",26,Not categorized (ensure taxonomy match),Reliance on carbon-based energy sources and energy inefficiency in buildings,Building integrated solar photovoltaics (PVs),"""Building integrated solar photovoltaics (PVs)""","This solution utilizes solar photovoltaics (PVs) integrated into building designs to generate clean energy, effectively addressing energy needs while contributing to carbon-free electricity sources for the city. The implementation of building integrated solar PVs allows residential and commercial structures to harness solar energy directly, which can improve energy efficiency and sustainability."
"Amman, Jordan",31,Not categorized (ensure taxonomy match),High electricity consumption and costs of street lighting,LED Street Lighting and Municipal Building Lighting,LED lighting technology,"The solution involves the replacement of existing street lights and municipal building lights with LED bulbs to improve energy efficiency. Specifically, ""by 2017, almost half of these had been replaced by LED bulbs, which are more efficient and longer lasting."" The project aims to reduce electricity consumption in public lighting by up to 50 percent, addressing cost and energy use challenges."
"Amman, Jordan",34,Not categorized (ensure taxonomy match),Dependence on fossil fuel imports for energy needs,Rooftop solar PV systems,"""Rooftop solar PV systems,"" ""net metering regulations""","The solution involves creating and sharing design guidelines specifically for rooftop solar PV systems. This promotes the installation of distributed renewable energy systems, allowing individuals and municipalities to control their own energy sources. The design guidelines, combined with net metering regulations, enable the excess electricity generated to be fed back into the grid, contributing to a decrease in reliance on fossil fuels."
"Amman, Jordan",37,Not categorized (ensure taxonomy match),"Emissions from gas-fueled, on-road transport contributing to poor air quality in Amman.",Electric Car Challenge,"Electric cars, electric charging stations, partnership with E-Charge for installation of charging infrastructure.","The solution involves the municipal government's purchase of electric cars as a means of reducing emissions from gas-powered vehicles. Additionally, legislation has been introduced that mandates the installation of electric charging stations at all new gas stations. The collaboration with E-Charge to install 10,000 charging stations across the country, particularly in Amman, addresses the minimal infrastructure currently available for electric vehicles. “The GAM can further expand on their efforts by creating an awareness program for electric car incentives.”"
"Amman, Jordan",39,Not categorized (ensure taxonomy match),Reduced local air pollution and improved public health,Enhancement of the efficiency of the city bus network using improved fuel specifications,Improved fuel specifications (implied technological enhancements in fuel monitoring),"This solution utilizes technological advancements in fuel specifications to enhance the efficiency of the bus network, likely incorporating digital systems for monitoring fuel use and emissions, thus making public transport more sustainable."
"Amman, Jordan",41,Not categorized (ensure taxonomy match),Environmental pollution and waste management challenges,Al Ghabawi Landfill with Gas Capture,"Engineered landfill infrastructure, methane gas capture system, biogas system, electricity generation system (4.8 MW per hour).","The Al Ghabawi landfill employs an engineered safe and lined landfill design that includes a methane gas capture system. This system is crucial in managing methane emissions from organic waste decomposition. The landfill captures landfill gas to produce energy, which is intended to meet the electricity needs of the landfill and be redirected to the national grid once connections are approved. The solution illustrates how engineered landfills can improve waste management practices by safely capturing and utilizing greenhouse gas emissions."
"Amman, Jordan",43,Not categorized (ensure taxonomy match),Reduced exposure to toxins from untreated waste,Anaerobic digestion site for organic waste,"Anaerobic digestion technology, waste processing systems","The implementation of an anaerobic digestion site specifically designed to process organic waste employs technological systems to break down waste in the absence of oxygen, therefore minimizing toxins released into the environment, while simultaneously creating biogas as an energy source."
"Amman, Jordan",51,Not categorized (ensure taxonomy match),Urban sustainability and climate action planning,CURB,"Excel-based tool, emissions data analysis software",CURB is an Excel-based tool designed to assist cities in climate action planning by analyzing city emissions data. It allows for tailored analyses to help cities evaluate low-carbon actions and project future emissions based on the selected actions. The use of a digital platform (Excel) for data analysis and projections exemplifies a technology-enabled solution in addressing urban climate challenges.
"Amman, Jordan",52,Not categorized (ensure taxonomy match),Greenhouse gas emissions and urban climate action,CURB tool,"""The CURB model... provides tailored analyses to help cities evaluate low carbon actions, and projects future emissions based on the actions selected.""","The CURB tool uses data from greenhouse gas emissions inventories to provide tailored analyses for cities. It evaluates low-carbon actions and projects future emissions based on selected actions, allowing city planners to make informed decisions about climate mitigation strategies. The model relies on inputs from various sectors to project potential outcomes and impact of those actions."
"Amman, Jordan",53,Not categorized (ensure taxonomy match),Managing organic waste to reduce emissions,Anaerobic Digestion for Waste Treatment,"Anaerobic digesters, biogas capture technology","The solution includes the treatment of ""30% of food and yard waste in anaerobic digester,"" which is a technology-based method for processing organic waste. Anaerobic digestion captures methane gas (biogas) from the decomposition of organic matter, enabling energy recovery and reducing greenhouse gas emissions from waste."
"Madrid, Spain",26,Not categorized (ensure taxonomy match),Urban transport emissions and inefficiencies,Fleet electrification and renovation,"Efficient vehicle technologies, digital systems for logistics optimization, on-demand public transport systems, route optimization software.","This solution focuses on the renovation and electrification of transportation fleets, utilizing more efficient technologies for private vehicles, freight transport, and public transportation. It includes optimizing urban goods distribution services through the development of logistic hubs, which likely rely on digital systems to manage logistics efficiently. Additionally, the implementation of on-demand public transport systems and route optimization indicates the use of technology to improve operational efficiency and reduce emissions."
"Madrid, Spain",27,Not categorized (ensure taxonomy match),Dependence on non-renewable energy sources,Renewable energy generation for self-consumption,"Renewable energy generation systems, energy management software","The initiative, referred to as ‘Madrid autosuficiente’, involves developing renewable energy systems that allow buildings to generate their own electricity. This not only promotes energy independence but also aims to achieve near-zero emissions by integrating modern renewable technologies. These systems can include solar panels or wind turbines, combined with energy management software that optimizes energy consumption and storage."
"Madrid, Spain",32,Not categorized (ensure taxonomy match),Energy efficiency and climate resilience in buildings,Smart lighting systems,"Smart control systems, digital lighting management","Smart lighting systems employ digital technologies to enhance efficiency in lighting, contributing to lower energy demand and better adaptation to climatic variations. These systems can be integrated with other building controls to adapt in real-time to occupancy and environmental conditions, further improving overall energy performance."
"Madrid, Spain",44,Not categorized (ensure taxonomy match),Inefficiency in energy consumption and lack of awareness among consumers regarding energy use,CLIMATE CONTROL SYSTEMS,"Online information systems, consumption control tools","The solution involves the ""incorporation of consumption control tools,"" which utilize digital platforms to provide accessible and clear online information on energy consumption and costs. This empowers consumers to manage their energy use more efficiently, promoting a culture of efficiency."
"Madrid, Spain",45,Not categorized (ensure taxonomy match),Energy efficiency in municipal facilities,Monitoring tools for energy efficiency,Monitoring tools,"The energy efficiency objective in municipal facilities will be addressed through the use of ""monitoring tools, equipment renewal and investment facilities for the comprehensive energy rehabilitation of buildings."" Monitoring tools can include digital systems to track energy usage and performance metrics for buildings, enhancing their rehabilitation efforts."
"Madrid, Spain",57,Not categorized (ensure taxonomy match),Air pollution and greenhouse gas emissions in urban environments,Advanced system to diagnose and assess GHG and air pollutants emissions sources,"Urban data systems, simulation tools, geographic information systems (GIS)","This solution involves the development of an advanced system that utilizes urban data from both public and private sources to diagnose and assess the sources of greenhouse gas (GHG) and air pollutant emissions. This system is designed to follow up, simulate, and assess the impact of various environmental policies and different urban development scenarios. It provides a geographic display of emissions with a high level of detail."
50-climate-solutions-prc-cities.pdf,6,Not categorized (ensure taxonomy match),Emissions from traditional fuel buses,Zero-Emission Hydrogen Bus Fleet,"""Hydrogen Fuel Cell Technology""","This solution leverages hydrogen fuel cell technology for a bus fleet, allowing for zero emissions during operation. Hydrogen buses use fuel cells to convert hydrogen into electricity without byproducts, which addresses air pollution and greenhouse gas emissions."
50-climate-solutions-prc-cities.pdf,8,Not categorized (ensure taxonomy match),Traffic congestion and air pollution in urban areas,Bus rapid transit,"GPS tracking systems, digital information systems","The bus rapid transit system integrates technology by using dedicated lanes, real-time GPS tracking for buses, and digital information systems for passengers, which enhances public transportation efficiency and reduces the reliance on individual motorized transport, ultimately leading to lower emissions."
50-climate-solutions-prc-cities.pdf,14,Not categorized (ensure taxonomy match),Reducing energy demand and lowering greenhouse gas emissions in buildings.,Passive Buildings,"Thermal bridge design, heat recovery system, renewable energy technology, heat insulation, power-saving devices.","The passive buildings constructed in Qinhuangdao incorporate advanced energy-saving measures such as ""thermal bridge design,"" ""heat recovery system,"" and ""heat insulation."" These techniques minimize energy usage and improve indoor living conditions by regulating ""indoor temperature, relative humidity, and noise pollution."" The buildings achieve an ""A"" energy efficiency rating and consume ""90% less energy than the average building"" in the region, demonstrating the use of specific technologies for climate adaptation."
50-climate-solutions-prc-cities.pdf,15,Not categorized (ensure taxonomy match),Reliance on fossil fuels and economic poverty in drought-stricken areas,Solar Micro Grids,"Solar photovoltaic (PV) systems, micro solar energy systems","The project involves the installation of rooftop and micro solar energy systems that enable residents to generate their own electricity and sell surplus energy back to the grid. This includes building 74 village-level solar photovoltaic (PV) power stations and 10,000 smaller rooftop installations. The systems are designed to provide sustainable energy, reduce dependency on conventional fossil fuels, and generate income for the local population. ""Villages and households in Wuzhong are benefiting from lower energy bills, and receiving payments for surplus generation, thanks to micro solar energy systems designed to bring people out of poverty."""
50-climate-solutions-prc-cities.pdf,16,Not categorized (ensure taxonomy match),The challenge of scaling solar power generation while preserving valuable farmland.,Combining Solar Power and Organic Farming,"PV solar power systems, greenhouse infrastructure.","Hanchuan has implemented photovoltaic (PV) solar power systems installed on the roofs of greenhouses, effectively merging agricultural land with renewable energy production. This dual use of space not only allows for the generation of 10 megawatts (MW) of solar energy, delivering ""8,841 megawatt-hours (MWh) annually to the national grid,"" but also supports the cultivation of high-value organic products in a sustainable manner."
50-climate-solutions-prc-cities.pdf,17,Not categorized (ensure taxonomy match),Transitioning from a coal-based energy strategy to a more sustainable energy system to reduce air pollution and CO2 emissions.,Clean District Heating Network,"Air heat pumps, ground heat pumps, waste-source heat pumps, sewage heat pump.","Qingdao is implementing a clean district heating network utilizing technological innovations in heating systems. This network will incorporate air, ground, and waste-source heat pumps to mine waste heat from industrial processes and the sewage system, thus decreasing reliance on coal-based heating methods. The system is designed to cover 180 square kilometers and aims to cut down over three million tons of coal usage annually, contributing to significant reductions in carbon dioxide emissions."
50-climate-solutions-prc-cities.pdf,18,Not categorized (ensure taxonomy match),"Reliance on coal for power generation, high carbon emissions, and poor air quality",Rooftop Solar Energy Generation System,"Solar PV panels, energy monitoring systems (implied but not explicitly stated)","The solution involves the installation of photovoltaic (PV) panels on underutilized rooftops in the Jimo district of Qingdao. Each system is capable of producing 4 kWh of electricity daily, significantly reducing reliance on traditional coal-fired power generation. By providing clean energy to households and allowing excess energy to be sold back to the national grid, this initiative not only decreases carbon emissions but also improves local air quality. The technology allows for long-term energy savings and environmental benefits: ""the project is preventing the annual emission of 83 tons of CO2."""
50-climate-solutions-prc-cities.pdf,19,Not categorized (ensure taxonomy match),Reliance on coal for district heating and urban energy needs,Wastewater Treatment Plant in Shijiazhuang,"Anaerobic digestion, heat pump technology, district heating network","The wastewater treatment plant employs an anaerobic digestion process to collect naturally occurring methane, which is used to power the facility's electricity requirements. It also utilizes a novel wastewater heat pump to recover heat from hot industrial wastewater, distributing this recovered heat to over 7,000 homes via a new district heating network. This approach maximizes energy recovery and reduces reliance on coal-based energy."
50-climate-solutions-prc-cities.pdf,20,Not categorized (ensure taxonomy match),Transitioning from fossil fuel dependency to renewable energy sources,Panda Power Plant,"Double-sided solar panels, monocrystalline silicon, thin film cells, azimuth tracking technology.","The panda power plant utilizes double-sided solar panels, comprising both darker monocrystalline silicon and lighter thin film cells, which enhance energy capture efficiency. The installation employs azimuth tracking technology to optimize the solar energy harvested by adjusting the angle of the panels toward the sun throughout the day. This innovative design not only contributes to renewable energy generation but also engages youth in low-carbon technology innovation through various programs."
50-climate-solutions-prc-cities.pdf,22,Not categorized (ensure taxonomy match),High energy and water demand for cooling buildings in Chongqing's hot summers,Jiangbeizui CBD Temperature Regulation System,"Heat pump technology, ice storage technology","The system uses ""heat pump technology"" and ""ice storage technology"" to regulate temperature in buildings efficiently. Heat pumps extract and utilize cold energy from the nearby Yangtze River, while ice storage allows the creation of ice during low electricity demand periods (at night) to provide cooling during the day, which ""reduces demand for coal-fired power"" and saves costs. This method decreases energy consumption significantly, with a reported reduction of ""2.62 gigawatt-hours annually"" in power requirements."
50-climate-solutions-prc-cities.pdf,23,Not categorized (ensure taxonomy match),High energy intensity and CO2 emissions from e-commerce and industrial operations,Zhuangyuangu Low-Carbon Industrial Park,"Intelligent power generation units, LED lighting, smart cooling systems, solar PV panels","The Zhuangyuangu Low-Carbon Industrial Park utilizes multiple low-carbon technologies to create a sustainable operational environment. The park employs ""intelligent power generation units,"" ""light-emitting diode (LED) lighting,"" and ""smart cooling systems"" to conserve energy, which results in significant electricity savings and reduces reliance on coal-based electricity. Additionally, it incorporates rooftop solar PV panels capable of generating ""2,250 MWh of renewable solar energy each year."" These technologies work together to enhance resource efficiency, minimize waste, and lower greenhouse gas emissions."
50-climate-solutions-prc-cities.pdf,24,Not categorized (ensure taxonomy match),High energy consumption and CO2 emissions from heating and cooling buildings,Near-Zero-Energy Consumption Pilot Building,"Ground-source heat pumps, PV solar systems, vacuum glass tube collectors, monitoring systems for PM2.5, volatile organic compounds, CO2, temperature, and humidity.","The Near-Zero-Energy Consumption Pilot Building employs innovative technologies to reduce emissions while maintaining indoor comfort levels. Ground-source heat pumps, which provide 65% of the heating demand and can also cool the building, are a key component. Additionally, PV solar systems power the electrical heat pumps and supply much of the building’s power needs. The pilot also features ""144 groups of vacuum glass tube middle temperature collectors"" on the roof that provide around a third of the building’s annual heating demand. Regular monitoring of air quality ensures a healthy indoor environment."
50-climate-solutions-prc-cities.pdf,25,Not categorized (ensure taxonomy match),Reliance on coal for winter heating leading to air pollution and health issues,Wind-Powered District Heating System,"25 MW electric boilers, district heating network, wind energy systems","The pilot project in Hohhot utilizes two new electric boilers powered by the region's wind resources to provide district heating. This system integrates renewable energy by replacing coal with wind-generated electricity, thereby reducing air pollution and associated health problems. The infrastructure allows for the efficient distribution of heat to the residents, contributing to the cleaner environment. The initiative also includes a new three-party business model aimed at optimizing the use of wind energy."
50-climate-solutions-prc-cities.pdf,26,Not categorized (ensure taxonomy match),Methane emissions and pollution from pig farming.,Win-Win Scheme Turns Pig Waste into Power,"Anaerobic digesters, biogas generation systems, electricity generation systems.","The solution involves a facility that utilizes four anaerobic digesters with a capacity to process waste from 140,000 pigs. These digesters convert pig waste into biogas, which is then utilized to generate electricity, significantly reducing reliance on coal-fired power generation. The implementation of this technology not only helps in waste management but also facilitates a financial incentive for local farmers through a payment scheme for delivering waste of high solid concentration."
50-climate-solutions-prc-cities.pdf,34,Not categorized (ensure taxonomy match),Urban flooding and water retention issues,Sponge City Technical Guide Integration,"""Innovative technologies from the Sponge City Technical Guide,"" ""water-efficient irrigation system,"" ""interconnected rainwater management system.""","The project implements innovative technologies from the Sponge City Technical Guide, which enables the site to retain up to 90% of local rainfall events. This approach incorporates a water-efficient irrigation system and an interconnected rainwater management system that significantly reduces water usage by 59%. The combination of these systems showcases how technology enhances water management and flood resilience in urban environments."
50-climate-solutions-prc-cities.pdf,36,Not categorized (ensure taxonomy match),Increased frequency and severity of stormwaters,Holistic Approach to Water for Climate Adaptation,"Low-pressure membrane technologies, gravity-based water transmission systems","Ningbo has implemented low-pressure membrane technologies to enhance stormwater management and reduce flooding vulnerability. These membranes serve to filter stormwater run-off before it can contaminate local water bodies or reach treatment facilities. The city's integrated governance model for water management, which encompasses wastewater treatment, flood prevention, drainage planning, and potable water security, leverages these technologies to address the impacts of climate change. ""Water-efficient technologies, such as low-pressure membranes and gravity-based water transmission at water treatment plants, are estimated to reduce the operational carbon footprint of the plants by 40%."""
50-climate-solutions-prc-cities.pdf,39,Not categorized (ensure taxonomy match),Energy consumption and greenhouse gas emissions in buildings,Hongqiao Tiandi (The Hub),"Smart integrated network (for energy management), water harvesting and recycling systems, high-efficiency lighting systems.","Hongqiao Tiandi utilizes a ""smart, integrated network"" to efficiently match energy demand for heating and cooling, significantly reducing energy consumption. The facility includes ""water harvesting and recycling systems"" that recover stormwater and condensate from air-conditioning, providing over 40% of the water demand. Additionally, high-efficiency lighting systems are implemented to further enhance energy efficiency."
50-climate-solutions-prc-cities.pdf,41,Not categorized (ensure taxonomy match),Emissions reduction in transportation,Smart Route Planning Tool,"Digital platform, data analytics system","This solution utilizes a digital platform that analyzes various routes for transportation to optimize travel paths, thereby reducing fuel consumption and emissions. The tool likely incorporates real-time data analytics to provide users with the most efficient routes based on current traffic conditions and environmental considerations."
50-climate-solutions-prc-cities.pdf,42,Not categorized (ensure taxonomy match),Poor urban management affecting sanitation services and increasing emissions,Environment Sanitation Cloud Platform,"""Environment sanitation cloud platform,"" ""intelligent data analysis,"" ""centralized system,"" ""automated route planning.""","The environment sanitation cloud platform integrates 194 sanitation vehicles into a centralized system to optimize their performance and route planning for waste collection. The platform collects data from vehicles and environmental equipment, conducting intelligent data analysis to enhance the sanitation process, waste classification, recycling, and resource distribution. This technological integration allows for monitoring of the entire sanitation process and contributes to a reduction in carbon dioxide emissions. The implementation has resulted in better efficiency, reduced fuel consumption, and improved working conditions for sanitation workers."
50-climate-solutions-prc-cities.pdf,43,Not categorized (ensure taxonomy match),Pollution from organic kitchen waste,Kitchen Waste Treatment Plant,"Kitchen waste collection vehicles, special containers, dedicated collection bins.","The city of Chengdu is addressing the challenge of responsible recycling of kitchen waste by constructing a cutting-edge waste treatment plant that converts 200 tons of kitchen waste daily into highly active biological humic acid fertilizer. To ensure effective operation, the project utilizes ""138 kitchen waste vehicles, 1,980 special containers, and 240,000 dedicated collection bins"" to optimize the collection and treatment of organic waste."
50-climate-solutions-prc-cities.pdf,45,Not categorized (ensure taxonomy match),Inefficient waste management leading to increased landfill usage and greenhouse gas emissions,Anaerobic digestion facility for kitchen waste,"Anaerobic digestion technology, natural gas harvesting systems","The anaerobic digestion facility is designed to process kitchen waste and convert it into natural gas through a decomposition process. This facility is part of a public-private partnership, indicating a collaborative technological investment toward sustainable waste management. The natural gas produced can be utilized for power or heating, thus providing an alternative energy source while addressing climate adaptation by reducing the amount of waste sent to landfills."
50-climate-solutions-prc-cities.pdf,46,Not categorized (ensure taxonomy match),High carbon emissions from steel and cement production,Waste Building Boards Production,"3D printing technology, factory production systems, solid waste processing technology.","The solution utilizes a factory in Weihai that processes solid waste, using about 80,000 tons of materials annually to replace cement and sandstone in the production of low-carbon building boards. The technology being developed includes the ability to 3D print these building boards, which allows for a greater share of construction work to happen in the factory, enhancing efficiency and reducing on-site labor. “This technology is being developed further, enabling the building boards to be 3D printed at the factory.” Additionally, the materials are engineered to be fireproof and water-resistant and can withstand significant seismic activity, providing resilience against natural disasters."
50-climate-solutions-prc-cities.pdf,54,Not categorized (ensure taxonomy match),Energy consumption and carbon dioxide emissions in heavy industry,Energy Star Index scheme,"Energy management systems, data-driven evaluation metrics, and possibly digital platforms for tracking company performance.","The Energy Star Index scheme incorporates a structured evaluation system that uses data-driven metrics to assess companies' energy efficiency in Suzhou. This includes the implementation of energy management systems and standards that utilize technology to track and improve energy performance across various categories. ""The index system evaluates the overall efficiency of each company annually, using four categories with nine subitems, including aspects of policy, regulation, energy management systems, technological progress, and energy performance."" This indicates an integration of software and strategic frameworks that drive energy efficiency and adaptation against climate impacts."
50-climate-solutions-prc-cities.pdf,57,Not categorized (ensure taxonomy match),Reducing carbon footprints and enhancing urban livability amidst climate change.,Low-Carbon Community Technologies,"Photovoltaic (PV) solar systems, electric vehicle charging points, digital platforms for community education and awareness.","The Beiqu community has implemented various technologies, including over 2 MW of photovoltaic (PV) solar systems installed on rooftops and wastelands, which are integrated with charging points for electric vehicles. This system allows residents to use renewable energy and supports electric vehicle usage. The community also showcases these technologies in a ""low-carbon station"" to raise public awareness and educate citizens about available low-carbon solutions."
50-climate-solutions-prc-cities.pdf,58,Not categorized (ensure taxonomy match),Rising demand for food in PRC cities and vulnerability of supplies due to extreme weather events,Vertical Farming at Beijing Nongzhong,"Smart air circulation system, LED lighting technology","The Beijing Nongzhong vertical farm employs a ""smart air circulation system"" to optimize the growth environment by cycling CO2 produced by fungi, which enhances photosynthesis rates of vegetables. This system allows for year-round production of mushrooms, vegetables, and medicinal plants while mitigating the impacts of climate change such as droughts and floods. The facility also utilizes LED technology, resulting in significant energy savings and reduction of CO2 emissions. Specifically, the use of LED lighting has achieved ""energy saving of 62.5%,"" saving CNY142 million and ""1,680 tons of CO2 equivalent emissions annually.”"
50-climate-solutions-prc-cities.pdf,59,Not categorized (ensure taxonomy match),Water management in Hefei,Integrated pipe gallery project,No specific technologies mentioned.,The integrated pipe gallery project is a smart initiative in Hefei's low-carbon strategy that enhances water management in the area. It utilizes technological infrastructure to streamline and improve water management systems within the city.
50-climate-solutions-prc-cities.pdf,62,Not categorized (ensure taxonomy match),Desertiﬁcation and climate change impacts (extreme temperatures and rainfall),Ant Forest,"Digital platform, integration with Alipay and Alibaba, gamification software.","Ant Forest is a digital platform that enables users to track their carbon footprint by integrating with Alipay and Alibaba. The app gamifies low-carbon lifestyles, rewarding users for sustainable behaviors. This engagement encourages users to grow their ""virtual tree,"" which, once matured, leads to the planting of a real tree to combat desertification. Through the integration of digital systems, the app not only fosters behavior change but quantifies and visualizes users' contributions to sustainability."
50-climate-solutions-prc-cities.pdf,63,Not categorized (ensure taxonomy match),Energy inefficiency and greenhouse gas emissions in a densely populated community,Geothermal Heat Pump and Solar Energy Water Heater Systems,"Geothermal heat pump, solar energy water heater system","Baibuting's development strategy incorporates technological solutions to improve energy efficiency and reduce carbon emissions. The geothermal heat pump heating system utilizes geothermal energy to provide efficient heating for buildings, while the solar energy water heater system harnesses solar energy to heat water for domestic use. These technologies together contribute to a substantial reduction in CO2 emissions and enhance the community's resilience to climate impacts. The reported figures state that the geothermal heat pump and solar energy system have led to a reduction of 300,000 tons of CO2 emissions annually."
50-climate-solutions-prc-cities.pdf,66,Not categorized (ensure taxonomy match),Traffic congestion and greenhouse gas emissions,Dida Carpool,"App-based platform, smart technology for matching drivers and passengers.","Dida Carpool is a ride-sharing platform that utilizes a dedicated app to connect commuters as drivers, enabling them to share their rides. This technological approach helps reduce the number of private car trips in Beijing by effectively matching drivers and passengers, leading to lower congestion and air pollution. The app facilitates the sharing of costs related to fuel and parking, contributing to an increase in mobility while minimizing environmental impact. According to the content, “Dida’s app uses smart technology to match drivers and passengers.”"
50-climate-solutions-prc-cities.pdf,67,Not categorized (ensure taxonomy match),Poor air quality due to vehicle emissions,Electric Taxis Replace Traditional Fleet,"Electric vehicles, 40-kilowatt high-power charging outlets, charging towers","Taiyuan has adopted a comprehensive technology-enabled solution by replacing its entire taxi fleet with electric vehicles. This transition involves the deployment of more than 2,000 units of 40-kilowatt high-power charging outlets specifically for taxi use, and plans to install 18 charging towers that will allow power supply to 7,200 taxis simultaneously. The technological infrastructure supports the operation and charging of the electric taxis, significantly reducing CO2 and other harmful emissions associated with traditional internal combustion vehicles. The initiative leverages electric vehicle technology to improve air quality in the industrial city of Taiyuan."
50-climate-solutions-prc-cities.pdf,68,Not categorized (ensure taxonomy match),Air pollution and congestion due to increasing car ownership,Electric trams powered by supercapacitors,"Supercapacitors, energy recovery technology, electric tram infrastructure","Huai'an has implemented one of the world's first electric trams that utilize supercapacitor technology for energy storage. This system enables the trams to fully recharge in just 30 seconds, allowing for continuous operation along a 20 km route with 23 stops. The trams also incorporate energy recovery technology, which salvages 85% of the energy generated from braking, making it more efficient and reducing reliance on conventional coal-fired power stations. This reduces both congestion and CO2 emissions significantly as journeys shift away from private cars."
50-climate-solutions-prc-cities.pdf,69,Not categorized (ensure taxonomy match),Inefficient and environmentally polluting public transport in Beijing,Pick Me Technology,"Digital application (""Pick Me Technology""), integration with public “WeChat” accounts, privately owned buses meeting operational standards","Pick Me Technology operates as an internet commuter bus-sharing platform that utilizes a digital application and integration with the WeChat social platform for users to plan and pay for their rides. This system uses privately owned buses that adhere to strict operating standards, enabling a more efficient commute by providing nonstop service from residential areas to workplaces, thereby reducing reliance on individual car use."
50-climate-solutions-prc-cities.pdf,70,Not categorized (ensure taxonomy match),Air pollution and traffic congestion,Bike-sharing program with carbon credit system,"Bike-sharing network (hardware: bikes and stations), carbon credit calculation system (software and digital platform)","The bike-sharing program in Wuhan utilizes a network of 20,000 bikes and 856 stations, with plans for expansion. It integrates with public transportation and includes charging facilities for electric vehicles. A unique aspect of the program involves a carbon credit system that calculates each bike user's individual CO2 reduction based on their riding speed and other factors, converting this data into a carbon credit registered to individual users. ""The carbon credit concept enables citizens to know about their individual contribution to carbon emission reduction with every ride."""
50-climate-solutions-prc-cities.pdf,72,Not categorized (ensure taxonomy match),High energy consumption and harmful emissions from diesel-powered buses,Rooftop Solar Power System for Electric Buses,"Rooftop photovoltaic (PV) system, electric bus technology","The solution involves a 195 kW rooftop photovoltaic (PV) system deployed at the bus depot in Shanghai, allowing for the recharging of electric buses using renewable energy. This solar power installation is capable of recharging six electric buses simultaneously and is expected to generate up to 20 MWh of power annually. The system not only reduces reliance on fossil fuels but also provides economic benefits by lowering electricity costs for the bus company. Additionally, the solar installation contributes to better roof insulation."
50-climate-solutions-prc-cities.pdf,74,Not categorized (ensure taxonomy match),Air pollution caused by traditional fossil-fuel vehicles,Zero-Emission Hydrogen Bus Fleet,"Hydrogen fuel cells, fuel-cell buses, localized production of fuel cells, and a pilot initiative supported by governmental and international collaborations.","The zero-emission hydrogen bus fleet in Foshan utilizes hydrogen fuel cells to convert hydrogen gas into electricity, powering the buses with only water vapor and oxygen as waste products. This innovative technology is part of a long-term initiative to reduce air pollution, as the fleet aims to replace polluting diesel vehicles with cleaner alternatives. The buses are designed to recharge quickly and can travel a range of approximately 300 km, providing an effective solution to urban transportation needs while improving air quality."
50-climate-solutions-prc-cities.pdf,75,Not categorized (ensure taxonomy match),Reducing greenhouse gas emissions and alleviating heavy congestion in Chongqing.,Car2Go Eco-friendly Car-Sharing System,"Mobile app, shared vehicle access technology, small fuel-efficient vehicles.","The Car2Go system is a free-floating car-sharing service that allows users to unlock and reserve cars using a mobile app. By providing an alternative to private vehicle ownership, this system aims to improve mobility in a densely populated urban area while minimizing fuel consumption and reducing emissions. The vehicles utilized in this system are predominantly small, fuel-efficient cars that “use approximately 50% less fuel than ordinary private vehicles,” thereby cutting down on greenhouse gas emissions."
"Hangzhou, China",3,Not categorized (ensure taxonomy match),Managing food waste and supporting energy generation,Food Waste Management Project,"Waste collection systems, energy conversion technologies","Hangzhou's food waste management project collects municipal food waste and utilizes it for electricity generation, thereby reducing total food waste by about 70%. This solution incorporates technology in waste collection and conversion methods, ultimately supporting energy needs and decreasing landfill use."
"Hangzhou, China",5,Not categorized (ensure taxonomy match),Barriers to trade that may affect food and resource distribution in climate-impacted regions.,Digital technology for trade regulation,"Digital technology, online trade processes","Indonesia utilizes ""digital technology to simplify trade regulations by reforming government services and shifting the trade process from paper-based to online-based."" This transition to a digital format allows for a more efficient and transparent process that can adapt to changing environmental and regulatory needs."
"Qingdao, China",2,Not categorized (ensure taxonomy match),High emissions from traditional vehicles,New energy vehicles monitoring,"New energy vehicles, electric buses","By the end of March 2015, Qingdao utilized ""1,520 new energy vehicles"" including ""968 vehicles are electric buses."" This implies a system that potentially monitors and supports the use and performance of these new energy vehicles as part of the city’s strategy to reduce reliance on fossil fuel-powered transport."
Hong Kong,5,Not categorized (ensure taxonomy match),Energy efficiency and management in buildings,Smart Management,"Smart technologies, energy management systems","The solution involves using ""smart technologies to enhance energy saving management and energy efficiency of buildings."" These smart technologies increase the performance and efficiency of energy consumption in buildings through advanced monitoring and management systems."
